Type,Code,Credits,Parents
knowledge,,,
compulsory1,,16,
subject,PHI1006,3,;
subject,PEC1008,2,PHI1006
subject,PHI1002,2,;
subject,HIS1001,2,;
subject,POL1001,2,;
subject,FLF1107,5,;
subject,FLF1307,5,;
subject,FLF1407,5,;
knowledge,,,
compulsory1,,2,
subject,INM1000,2,;
optional1,,5,;
subject,HIS1056,3,;
subject,GEO1050,3,;
subject,THL1057,2,PHI1006
subject,MAT1060,2,;
subject,PHY1070,2,;
subject,PHY1020,3,;
knowledge,,,
compulsory1,,6,
subject,PHY1100,3,MAT2302
subject,PHY1103,3,MAT2302
knowledge,,,
compulsory1,,46,
subject,MAT2300,4,;
subject,MAT2301,4,MAT2300
subject,MAT2302,5,;
subject,MAT2303,5,MAT2302
subject,MAT2304,4,MAT2303
subject,MAT2314,4,MAT2301;MAT2303
subject,MAT3409,3,MAT2301;MAT2304
subject,MAT2404,4,MAT2314;MAT2316;MAT2317;MAT2318;MAT2319
subject,MAT2405,3,MAT2303;MAT2301
subject,MAT2406,4,MAT2405
subject,MAT2407,3,MAT2301;MAT2302
subject,MAT2315,3,;
optional1,,3,
subject,MAT2316,3,INM1000
subject,MAT2317,3,INM1000
subject,MAT2318,3,INM1000
subject,MAT2319,3,INM1000
knowledge,,,
compulsory1,,35,
subject,MAT3500,4,MAT2302;MAT2300
subject,MAT3365,3,MAT2314
subject,MAT3372,3,MAT2316;MAT2317;MAT2318;MAT2319
subject,MAT3366,3,MAT2316;MAT2317;MAT2318;MAT2319
subject,MAT3514,4,MAT2316;MAT2317;MAT2318;MAT2319
subject,MAT3504,3,MAT2301;MAT2303;MAT3500;MAT3514
subject,MAT3507,4,MAT2316;MAT2317;MAT2318;MAT2319;MAT3500
subject,MAT3452,3,MAT2406
subject,MAT3525,2,MAT2404
subject,MAT3359,3,;
subject,MAT3533,3,MAT2406;MAT2404;MAT3514
optional1,,15,
subject,MAT3367,3,;
subject,MAT3545,3,MAT3500;MAT3504
subject,MAT3539,3,MAT2316;MAT2317;MAT2318;MAT2319
subject,MAT3323,3,MAT2407;MAT3500
subject,MAT3509,3,MAT2316;MAT2317;MAT2318;MAT2319;MAT3500
subject,MAT3456,3,MAT2316;MAT2317;MAT2318;MAT2319;MAT3500
subject,MAT3531,3,MAT3366;MAT3372
subject,MAT3508,3,MAT3507;MAT3500
subject,MAT3335,3,MAT2316;MAT2317;MAT2318;MAT2319;MAT2301
subject,MAT3368,3,MAT2405
optional2,,15,
subject,MAT3327,3,MAT2304;MAT2307;MAT2404
subject,MAT3565,3,MAT3514;MAT2405;MAT3507
subject,MAT3532,3,MAT3504;MAT3366
subject,MAT3561,3,MAT3508;MAT3509
subject,MAT3562,3,MAT2303;MAT2301;MAT2316;MAT2317;MAT2318;MAT2319
subject,MAT3333,3,MAT2304;MAT2405
subject,MAT3334,3,MAT2314;MAT2406
subject,MAT3323,3,MAT2407;MAT3500
subject,MAT3369,3,MAT2404
subject,MAT3370,3,MAT2405
knowledge,,,
optional1,,7,
subject,MAT4082,7,;
optional2,,7,
subject,MAT4072,4,MAT2404;MAT2407
subject,MAT3371,3,MAT3372
