Type,Code,Name,Credits,Parents,YearStudy
knowledge,Khối kiến thức chung (chưa tính Giáo dục thể chất và Giáo dục quốc phòng - an ninh),;,;,;,0
compulsory,Các học phần bắt buộc,;,11,;,0
subject,PHI1006,Triết học Mác - Lênin,3,;,0
subject,PEC1008,Kinh tế chính trị Mác - Lênin,2,PHI1006,0
subject,PHI1002,Chủ nghĩa xã hội khoa học,2,;,0
subject,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,;,0
subject,POL1001,Tư tưởng Hồ Chí Minh,2,;,0
optional,Ngoại ngữ B1,,5,,0
subject,FLF1107,Tiếng Anh B1,5,;,0
subject,FLF1307,Tiếng Pháp B1,5,;,0
subject,FLF1407,Tiếng Trung B1,5,;,0
knowledge,Khối kiến thức theo lĩnh vực,;,;,;,0
compulsory,Các học phần bắt buộc,;,2,;,0
subject,INM1000,Tin học cơ sở,2,;,0
optional,Các học phần tự chọn,;,5,;,0
subject,HIS1056,Cơ sở văn hóa Việt Nam,3,;,0
subject,GEO1050,Khoa học trái đất và sự sống,3,;,0
subject,THL1057,Nhà nước và pháp luật đại cương,2,PHI1006,0
subject,MAT1060,Nhập môn phân tích dữ liệu,2,;,0
subject,PHY1070,Nhập môn Internet kết nối vạn vật,2,;,0
subject,PHY1020,Nhập môn Robotics,3,;,0
knowledge,Khối kiến thức theo khối ngành,;,;,;,0
compulsory,Các học phần bắt buộc,;,6,;,0
subject,PHY1100,Cơ - Nhiệt,3,MAT2501,0
subject,PHY1103,Điện - Quang,3,MAT2501,0
knowledge,Khối kiến thức theo nhóm ngành,;,;,;,0
compulsory,Các học phần bắt buộc,;,30,;,0
subject,MAT2400,Đại số tuyến tính,5,;,0
subject,MAT2501,Giải tích 1,4,;,0
subject,MAT2502,Giải tích 2,4,MAT2501;MAT2400,0
subject,MAT2503,Giải tích 3,2,MAT2502,0
subject,MAT2403,Phương trình vi phân,3,MAT2501;MAT2400,0
subject,MAT2323,Xác suất - Thống kê,4,MAT2502,0
subject,MAT2407,Tối ưu hóa,3,MAT2502,0
subject,MAT2315,Phương pháp nghiên cứu khoa học,3,;,0
subject,MAT2506,Kĩ năng mềm,2,;,0
optional,Các học phần tự chọn,;,3,;,0
subject,MAT2316,Lập trình C++,3,INM1000,0
subject,MAT2317,Lập trình Java,3,INM1000,0
